"";"UF_RM";"ano";"i_onus1_1";"i_onus1_4";"i_onus1_2";"tot_1";"tot_4";"tot_2";"pct_1";"pct_4";"pct_2"
"37";"23";17;66026,3682567416;62414,831048622;13428,5807977873;246315,583852504;226940,239806474;44264,627976709;0,26805599233331;0,275027606835381;0,303370465574749
"38";"24";17;18912,3343912547;16391,76142038;5647,44351685433;68331,4775456949;75220,8335784405;33927,2478837292;0,276773385715355;0,217915179087807;0,166457460275248
"39";"25";17;14732,864442957;28220,4623636724;5398,08385220079;56213,3515176687;120760,721074595;25779,675537914;0,262088348144947;0,233689084600947;0,209393009786405
"40";"26";17;30589,8324191675;76697,8008918726;49253,913672723;124152,480795784;244557,82289452;125474,48771995;0,246389216092139;0,313618268203806;0,392541261317236
"41";"27";17;29375,7675655812;16732,4419846939;4951,35019590015;79963,6628593468;53026,7040141301;13879,5726562644;0,367363956516751;0,315547464165134;0,356736501801835
"42";"28";17;20984,6416060676;17260,7428549901;7645,38605583113;58889,3456789101;52292,9234018759;15998,0112707153;0,356340206605195;0,33007798631451;0,477896028853672
"43";"29";17;63859,7735567335;96809,7871847467;20523,4692042852;204513,647688341;338486,79468137;48742,0069122914;0,312251892617209;0,286007574611227;0,421063277948652
"44";"31";17;52136,511086259;229675,757623933;57106,6459201682;192922,057152004;860711,821143316;174242,02311375;0,270246501908179;0,266843967959968;0,327743244136275
"45";"32";17;7436,41319240956;25066,6724109252;29805,9979317512;29403,6947999399;101040,090295849;102193,858142921;0,252907440476656;0,248086401521703;0,291661343190181
"46";"33";17;180473,390537534;83378,0675127998;95758,4601225928;586780,176131416;269952,155350113;282676,401223431;0,307565589088876;0,308862388613505;0,338756471032416
"47";"35";17;273565,20438709;445935,111385709;179264,644073161;1021550,02356599;1696105,11901901;590305,024586889;0,267794232368706;0,262917142566982;0,303681379298127
"48";"41";17;35267,4952987167;100987,447533278;17179,0074847487;146424,18391009;465190,985358761;66426,5175863697;0,240858404376509;0,217088143819888;0,25861671074977
"49";"42";17;9382,35287153597;69453,7883450485;11136,8498414313;40426,9549869136;336116,149128622;44478,7327338452;0,232081611750702;0,206636272982143;0,250385952047526
"50";"43";17;20499,4400087889;81638,7549421453;26127,3998016882;94313,1926274018;362037,244253263;122407,481426147;0,217354957855949;0,225498222180244;0,213446102291156
"51";"50";17;14115,0239702959;25195,8292242975;NA;64223,4844523245;108498,013640635;NA;0,219779790689713;0,232223875616291;NA
"52";"51";17;18045,7456586041;43505,3331664672;1939,29003040016;49074,1445037745;170776,00204149;11192,9180914656;0,367724100767893;0,254750858706117;0,173260450452044
"53";"52";17;32069,7958287342;40484,8534044333;20753,8512490201;137094,016358059;200798,692931473;69821,250248645;0,233925569333201;0,201619108239164;0,297242618473778
"54";"53";17;77939,7035015359;NA;23144,8412737711;280644,075446286;NA;85103,7422463941;0,277717259406224;NA;0,271960323516229
"55";"11";18;7572,49546578628;11680,6087425555;NA;23987,7229684252;69771,5272964292;NA;0,315682129385681;0,167412255330596;NA
"56";"12";18;4806,997925268;2408,77982841952;NA;20596,9472051296;7813,72195590165;NA;0,233383999939119;0,308275600541453;NA
"57";"13";18;42927,5922262941;3101,47759485352;2879,12180487343;145750,964767097;8503,39693723922;8784,65213933152;0,294526985086446;0,364733954882326;0,327744543461515
"58";"14";18;9359,09480435692;789,662134431352;NA;27471,0154380937;2485,37009424389;NA;0,340689801782091;0,317724163600507;NA
"59";"15";18;16653,9006230679;36156,7771060118;8457,28339911433;71110,895848053;170597,057811276;25959,0005025053;0,234196186455776;0,211942559677732;0,325793876320397
"60";"16";18;4019,16620319341;1233,64461992014;826,104982223134;14661,5039141792;5036,14134146748;2236,7886973654;0,274130554868007;0,24495829967327;0,369326339674446
"61";"17";18;7301,29464799327;13047,151128201;NA;34134,2188379859;57453,4890655544;NA;0,213899567546807;0,227090666561856;NA
"62";"21";18;17246,6265226266;26376,2694942494;763,164728296744;50671,1714412804;97929,8224239163;5092,75982251921;0,340363682781887;0,269338479754129;0,149852880342437
"63";"22";18;8711,28754595393;9304,89974495401;379,650148831639;30700,5617696056;50159,1988104809;2567,4864627647;0,283750102402958;0,1855073439293;0,147868413071525
"64";"23";18;69904,9739904952;56850,0110938474;18280,5207562327;252606,354119133;218841,538777964;65190,9131622299;0,276734820207757;0,25977705791736;0,28041516630916
"65";"24";18;10867,3952580555;23165,4060586299;7322,18667205004;60509,6867863161;75442,2226618249;23267,8507523198;0,179597612138245;0,307061553083748;0,314691148314161
"66";"25";18;19189,5365200981;28983,9702870786;5446,90807755262;60849,8876900813;122972,757351418;21788,5469948593;0,315358618537369;0,23569423758021;0,249989504983409
"67";"26";18;41547,8731249239;88852,6611929112;57041,2771173227;136693,1151469;290528,573051946;154559,323004262;0,303950005677123;0,305831059091817;0,36905749849687
"68";"27";18;34876,7956810479;18814,4669758812;4918,8475616906;94293,6563245799;58266,6162026262;18266,1967238162;0,369874252844689;0,322903030964636;0,269286903894843
"69";"28";18;14817,0582553644;14669,6315568919;8517,61383920317;53993,1136350746;45319,4395244589;19349,6460713705;0,274424963811293;0,323694019847151;0,440194813268741
"70";"29";18;68624,5740843126;106211,953740542;13980,0297803182;213383,919041187;362727,786823538;53964,5563996447;0,321601432725897;0,292814495053318;0,259059477424152
"71";"31";18;53173,1246060232;224704,802596151;51513,8386425652;189961,397520893;908689,634183536;188190,033400155;0,279915421238017;0,247284434798301;0,273733086241765
"72";"32";18;4757,28036888959;27599,7019820531;26831,661728633;29224,3675286451;113351,470110357;99986,053281565;0,162784716015722;0,243487816745407;0,268354043869238
"73";"33";18;178001,341425597;96001,6875818784;99200,6762020394;636530,361937721;306013,756089696;312468,456823021;0,279643127915731;0,313716902170042;0,317474209111052
"74";"35";18;233487,36365946;487411,815965326;197706,960713024;1034729,03034615;1755159,83058783;676193,705089365;0,22565073252207;0,277702239688385;0,292382137285491
"75";"41";18;36650,9401024078;105582,847178291;18922,9737391348;153552,285666256;480461,010007272;77606,3918134043;0,238687037079136;0,219753205731913;0,243832670183056
"76";"42";18;11614,3864273632;77935,4534251151;14530,2042581377;42857,0342014931;367043,213017619;43111,3542536954;0,271003037045399;0,212333182200468;0,337038919553129
"77";"43";18;23666,6587949758;70183,8728427642;35323,9718805614;99558,2598949777;358056,929406361;130388,932695597;0,237716677852157;0,196013167400853;0,270912347775927
"78";"50";18;10942,4832028003;28004,5838043967;NA;53138,5374828194;117976,335673468;NA;0,205923680273252;0,23737458571274;NA
"79";"51";18;11676,0029255522;39637,2440429991;1979,28841442551;47208,7075392598;174110,414322754;11053,9055207788;0,247327315958441;0,227655790707168;0,179057837133211
"80";"52";18;46166,0671471458;44386,4548700443;23227,320482353;153796,473883605;211711,626670441;102839,609778857;0,300176369336561;0,209655254026923;0,225859671504981
"81";"53";18;84798,9567143423;NA;16978,8948864624;297035,316300905;NA;66000,7738600818;0,285484425792786;NA;0,257252966797886
"82";"11";19;6913,0375698465;11672,6478599626;NA;25055,7317343449;68697,3338351524;NA;0,275906433032667;0,169914132155005;NA
"83";"12";19;5228,72931514644;2317,56856709145;NA;16494,3155477631;8728,91918823296;NA;0,317001896805324;0,265504642340561;NA
"84";"13";19;36781,2091395519;5043,89857073792;1941,56167023484;131321,604704051;18078,0465785574;9430,01382164318;0,280084980856295;0,27900683565671;0,205891709912311
"85";"14";19;10508,9542676196;963,160086525328;NA;27293,8932182256;3621,280840344;NA;0,385029507648333;0,265972215077866;NA
"86";"15";19;17168,6992322692;38315,5400535026;9273,31745054901;69921,474377822;173722,065889237;33243,3247113858;0,245542580230758;0,220556553120501;0,278952768143943
"87";"16";19;5558,36526830011;760,97248138952;947,530728620249;23309,5499917091;4669,83530096761;2869,09115447486;0,238458711999036;0,162954886488576;0,330254661704424
"88";"17";19;6842,71653243039;12218,7750496247;NA;35373,4795900033;49512,9318203401;NA;0,193441996991559;0,246779469532548;NA
"89";"21";19;15764,1684959765;27928,1004064301;954,39531080952;53896,3035130755;103995,897021632;10365,4548230931;0,292490717701113;0,268550021743846;0,0920746196957259
"90";"22";19;5053,94113322166;9334,5038140359;819,554420374958;31526,2010209171;44842,5872369302;2115,28122975981;0,160309233893055;0,208161580078244;0,387444661657597
"91";"23";19;61223,5367570937;69950,1455637579;19316,1421328679;249415,145823197;230719,985799972;63879,8813540134;0,245468399904203;0,30318199492437;0,302382248110646
"92";"24";19;17446,4592067804;21779,0680527241;6302,36905229133;78888,8010211757;73241,771305539;35090,7862046804;0,221152546127521;0,297358565535909;0,179601819563983
"93";"25";19;16123,6297217046;33211,2044182743;9901,30534015073;60273,6455242897;130121,84575719;29339,6004877532;0,267507126563415;0,255231581023274;0,337472398244949
"94";"26";19;26222,4042744553;84954,7779550595;53883,5751906109;119331,373247801;277194,534363467;157216,176886278;0,219744427310011;0,306480710920743;0,342735564862307
"95";"27";19;46381,0197326918;18114,9209168367;6925,72363725554;117588,194155921;64984,3775552328;16408,9865724406;0,394436023663999;0,278758089225985;0,422068944153293
"96";"28";19;22593,6914342101;17886,9218131408;6242,50745471531;69655,4250721015;58121,735005969;19278,8606668629;0,324363700470178;0,30774927505698;0,323800641676151
"97";"29";19;55472,3906303954;90665,6715134148;23484,660212815;206919,409247518;362857,842009064;60668,6095270583;0,268086936996998;0,249865542415781;0,387097386867599
"98";"31";19;48947,3740032877;235317,795748588;41805,0547810811;187299,579185295;949706,801045586;145906,347285096;0,261332002005537;0,247779415172675;0,286519781756962
"99";"32";19;5811,26903666772;32248,472401362;24255,3096167299;29366,1711463404;127694,927802561;104544,140842313;0,197889912433883;0,252543095926441;0,232010224784523
"100";"33";19;138202,39404912;87811,6683792404;104029,199537704;571024,393093568;274214,69753672;327596,817341567;0,242025377060335;0,320229619958578;0,317552534184843
"101";"35";19;276800,032087131;519238,137872094;170617,321954957;1175082,02818825;1955244,77240685;605874,459163231;0,235558050797443;0,265561706237387;0,28160507407854
"102";"41";19;38823,5131163894;111176,980834055;18788,4478822087;159210,336914543;503477,631674844;85015,9125635683;0,243850455119809;0,220818113536085;0,220999190806312
"103";"42";19;13957,9651476864;73091,2108318803;13089,0022694;51626,4341651493;387057,013939382;41651,6448084821;0,270364695400729;0,188838357656858;0,314249349085357
"104";"43";19;17045,8665225667;77793,9973156726;37391,6688995074;93137,4983214719;385027,697144522;154260,919841119;0,18301829907146;0,202047795243344;0,242392363133961
"105";"50";19;20017,1611599146;26696,408287317;NA;77165,8263828581;115066,797416776;NA;0,259404481209071;0,232007919631427;NA
"106";"51";19;11862,1536457665;37506,9745946671;1790,20072349299;49164,1442117452;178349,804684993;11752,8012750221;0,241276520438906;0,210300059822959;0,152321194037174
"107";"52";19;45102,8092145976;59992,5627784791;16569,8648382055;166246,388168347;229466,4174918;78045,988683496;0,271300987116333;0,261443759109643;0,212308987530444
"108";"53";19;73453,2765916111;NA;22954,3160704025;294535,151588997;NA;63497,7027376563;0,249387131537053;NA;0,361498370503881
